LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID109549,109549,5,92.63076782226562,13.658252036262551,8.818713913177396,0.0,164.96517705917358,33,0.65,1,,771.7829457364342,362.0,157.0,4167.0,99560.0,892.7363216646783,0.6772586259924915,0.6981624382111105
ID109359,109359,5,92.06968688964844,13.873342619510781,8.92625920480151,0.0,59.98733711242676,12,0.65,1,,762.4651162790698,370.0,127.0,4368.0,98358.0,908.573667955298,0.6653759787221568,0.6705708189745503
ID109489,109489,5,91.25911712646484,13.765797327886666,8.92625920480151,0.0,119.97467422485352,24,0.65,1,,752.062015503876,353.0,141.0,4246.0,97016.0,912.1519606123921,0.6702552703701067,0.6617193596156118
ID109555,109555,5,87.35693359375,13.765797327886666,9.033804496425624,0.0,169.96412181854248,34,0.65,1,,724.9147286821706,358.0,118.0,3940.0,93514.0,838.1207776833218,0.6629328010121769,0.6896124924465121
ID109426,109426,5,94.07649993896484,13.765797327886666,8.92625920480151,0.0,104.97783994674683,21,0.65,1,,766.4651162790698,354.0,135.0,4395.0,98874.0,933.691824212756,0.675728683633901,0.6620449609956588
ID109302,109302,5,80.40544128417969,13.765797327886666,8.818713913177396,0.0,14.99683427810669,3,0.65,1,,703.3023255813954,376.0,161.0,3266.0,90726.0,705.4409259978289,0.6408353128902415,0.7787406384081093
ID109369,109369,5,92.92080688476562,13.873342619510781,8.92625920480151,0.0,64.98628187179565,13,0.65,1,,775.2093023255813,363.0,132.0,4552.0,100002.0,933.5354729670378,0.6695436635657956,0.6660383997644849
ID109497,109497,5,91.05656433105469,13.765797327886666,8.92625920480151,0.0,129.9725637435913,26,0.65,1,,748.2403100775193,362.0,135.0,4242.0,96523.0,898.6417943832811,0.6683105919443394,0.6670922896665265
ID109435,109435,5,93.70598602294922,13.765797327886666,8.92625920480151,0.0,99.97889518737793,20,0.65,1,,767.6046511627907,352.0,136.0,4271.0,99021.0,934.8565683652749,0.6724510401751873,0.6602826205298984
ID109564,109564,5,91.14911651611328,13.765797327886666,9.033804496425624,0.0,179.96201133728027,36,0.65,1,,742.7286821705426,354.0,137.0,4320.0,95812.0,905.6165695944566,0.6681061877799465,0.6569580398603867
