LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID28425,28425,42,32.873226165771484,36.78048973544718,17.314791951482448,0.0,124.82110261917114,25,0.65,1,,540.8837209302326,477.0,215.0,1306.0,69774.0,285.15937506251925,0.20549310102236618,0.6466641256703562
ID27854,27854,42,39.14106750488281,38.28612381818479,18.175154284475365,0.0,44.93559694290161,9,0.65,1,,658.2635658914729,626.0,234.0,1573.0,84916.0,287.32063751201383,0.34969480187215723,1.1871800605853005
ID28559,28559,42,43.8575325012207,36.888035027071304,17.314791951482448,0.0,129.813946723938,26,0.65,1,,610.7596899224807,561.0,203.0,1400.0,78788.0,329.1055770758119,0.38073483938265473,1.0234755102783546
ID28627,28627,42,42.529029846191406,36.888035027071304,17.314791951482448,0.0,154.77816724777222,31,0.65,1,,609.4806201550388,537.0,207.0,1334.0,78623.0,303.39112289190734,0.37720124930979204,1.10043081063688
ID28116,28116,42,62.97309875488281,37.85594265168833,18.06760899285125,0.0,79.88550567626953,16,0.65,1,,884.4883720930233,777.0,283.0,2209.0,114099.0,429.1523279289773,0.3864331785904759,1.1489102795005512
ID28695,28695,42,54.1499137878418,36.67294444382307,17.422337243106565,0.0,169.75669956207275,34,0.65,1,,653.6589147286821,437.0,206.0,2179.0,84322.0,482.94486447930876,0.39424392507027817,0.7654377571157631
ID27930,27930,42,32.94426727294922,38.393669109808904,18.282699576099482,0.0,49.92844104766846,10,0.65,1,,571.1627906976744,535.0,234.0,1102.0,73680.0,229.52331004638975,0.2719184825998839,1.0640022687160149
ID28763,28763,42,54.31574249267578,36.56539915219896,17.314791951482448,0.0,174.7495436668396,35,0.65,1,,648.4496124031008,459.0,176.0,2010.0,83650.0,464.44459372930584,0.40135594567555843,0.7997487302472849
ID28188,28188,42,70.11026763916016,37.74839736006422,18.06760899285125,0.0,89.87119388580322,18,0.65,1,,927.6666666666666,850.0,290.0,2349.0,119669.0,491.67331210198256,0.4267017794778208,1.1285909484757504
ID28256,28256,42,65.51766967773438,37.640852068440104,17.85251840960302,0.0,94.86403799057007,19,0.65,1,,871.6511627906976,789.0,227.0,2259.0,112443.0,480.8310132462533,0.41567261937319505,1.0645567639569
